epoch,f1_harmonic_mean,class,precision,recall,f1,accuracy
1,0.026513253687595578,0,0.9651223361641963,0.4897234164080106,0.6497499915470282,0.49363561571062625
1,0.026513253687595578,1,0.01104065844072161,0.11163667449467247,0.02009405263485462,0.8843552913454604
1,0.026513253687595578,2,0.006773580631807806,0.18566863328776267,0.013070328310584033,0.7824004931846201
1,0.026513253687595578,3,0.01770996927537953,0.20009748628226895,0.03253993601887261,0.8356891491103429
1,0.026513253687595578,4,0.020554486719815863,0.08750934093977512,0.03328976263680968,0.9555868544073683
2,0.030699196702481807,0,0.9701674930569063,0.548200438021892,0.7005498914489334,0.5505253613208918
2,0.030699196702481807,1,0.011525486088593015,0.10452034292086695,0.020761586497197095,0.8952797313162564
2,0.030699196702481807,2,0.007995914750666735,0.18860691421176287,0.015341435475597985,0.8121129138113165
2,0.030699196702481807,3,0.022665377860645375,0.23253338470114931,0.04130472245679606,0.850935422777479
2,0.030699196702481807,4,0.025876057505263724,0.1096191020363487,0.0418688047243016,0.956157818164763
3,0.03550647864064102,0,0.9738283251058901,0.6181411466117013,0.7562498756140635,0.6178379198624864
3,0.03550647864064102,1,0.012106120072853954,0.09257122772149026,0.02141205182786296,0.9101289909454398
3,0.03550647864064102,2,0.00957627794769855,0.18595407592774224,0.018214541950104524,0.8444307708859202
3,0.03550647864064102,3,0.02992464044184922,0.26860373988599207,0.053849957773510086,0.8696548245392964
3,0.03550647864064102,4,0.032270317291266476,0.1305835131408933,0.05175157858900115,0.9581824700768794
4,0.04046426981853903,0,0.9756500781204519,0.6815670889505866,0.802515200532513,0.6782863955406285
4,0.04046426981853903,1,0.013677561261920978,0.08617825675246707,0.02360820650445396,0.9242886748939227
4,0.04046426981853903,2,0.010882081137793325,0.17021640599202661,0.02045636902158085,0.8734924896968317
4,0.04046426981853903,3,0.039902775101997086,0.3140923416323887,0.07080976814050734,0.886164670129583
4,0.04046426981853903,4,0.0372984572258527,0.1408723311187359,0.05898071917800899,0.9607187173267283
5,0.04539924111929697,0,0.9759902171481561,0.7374783662838803,0.8401340740193629,0.7308235864417705
5,0.04539924111929697,1,0.015905227557175536,0.0824203211237202,0.02666476781253816,0.9360911566958716
