f1_harmonic_mean,class,precision,recall,f1,accuracy
1.2499999999598154e-10,1,0.8868282228816353,0.6924314583601493,0.7776653415251173,0.9941329956054688
1.2499999999598154e-10,2,0.0,0.0,0.0,0.99969482421875
1.2499999999598154e-10,3,0.0,0.0,0.0,0.999669075012207
1.2499999999598154e-10,4,0.0,0.0,0.0,0.9998455047607422
1.2499999999598154e-10,5,0.0,0.0,0.0,1.0
