1,2,3,4,5,Total,Undetected
12,0,1,0,0,24,11
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
21,1,1,4,0,24,11
9,1,0,4,0,14,0
