epoch,f1_harmonic_mean,class,precision,recall,f1,accuracy
1,0.1636635020008241,0,0.9729228715431303,0.4179276546813516,0.584694568141163,0.43068926103509536
1,0.1636635020008241,1,0.05089787491799063,0.7285358157687375,0.09514837571776745,0.43068926103509536
2,0.19498866606770857,0,0.9748557589490702,0.5728779722940206,0.721665980642993,0.576257625682741
2,0.19498866606770857,1,0.061666547223927705,0.6551362629107992,0.11272274807991592,0.576257625682741
3,0.23437827408061349,0,0.973100346650609,0.734542780693076,0.8371583301881261,0.7259784283884115
3,0.23437827408061349,1,0.07826815565181779,0.5260927120639027,0.13626397232083207,0.7259784283884115
4,0.27865152932349446,0,0.9709559383574906,0.8480260266634466,0.9053370756879423,0.829945352358917
4,0.27865152932349446,1,0.10315150616606035,0.40795564357233793,0.16466699440604468,0.829945352358917
5,0.3164959165767237,0,0.9693421909131166,0.9087652438902406,0.9380767854001829,0.8849526742459013
5,0.3164959165767237,1,0.13389454740749815,0.32918472220899103,0.1903606673221997,0.8849526742459013
6,0.3391012677816006,0,0.9681093545541833,0.9392946115639407,0.9534843339851525,0.9121185474047772
6,0.3391012677816006,1,0.16395484060494955,0.2778490944332287,0.20622135919225346,0.9121185474047772
7,0.34998788634331374,0,0.9672536379905714,0.9550951728742332,0.961135955523325,0.9259338902363851
7,0.34998788634331374,1,0.18968247278567638,0.24533089054042131,0.21394731238881667,0.9259338902363851
8,0.3492533598115516,0,0.9663401838862481,0.965634078735959,0.9659870022761332,0.9347927439106843
8,0.3492533598115516,1,0.21137378428534617,0.2149785554405976,0.21316093085303695,0.9347927439106843
9,0.341925639415756,0,0.9655290834390179,0.9727550323620142,0.9691285886837454,0.9405723879903523
9,0.341925639415756,1,0.22954802619844292,0.18945301613278204,0.20758213711670764,0.9405723879903523
10,0.33498677806481386,0,0.9649194825147254,0.9781395009482055,0.9714845191164113,0.9449375758727999
10,0.33498677806481386,1,0.24995544267842648,0.1700289381891873,0.2023868526987804,0.9449375758727999
11,0.3263535887754701,0,0.9643982477337489,0.9822484130892183,0.9732414900832848,0.9482068457842133
11,0.3263535887754701,1,0.27059629995989076,0.15370157282108732,0.1960465963725026,0.9482068457842133
12,0.31958358185027036,0,0.9640628622906291,0.9847645855668617,0.974303770287884,0.9501899292144466
12,0.31958358185027036,1,0.287159647272604,0.14324274794165154,0.19113990735486863,0.9501899292144466
13,0.3106635638519479,0,0.9637049394477707,0.9871599063737877,0.9752914250670078,0.9520365389204241
