epoch,loss
1,0.20801130204384402
2,0.20299545720012813
3,0.19848569446742964
4,0.19491592390701215
5,0.19211926260251774
6,0.18983880773305187
7,0.18792512406429931
8,0.18625310643561707
9,0.18478322742506506
10,0.18345979443024718
11,0.1822740264643449
12,0.18120038021880416
13,0.18021893631116612
14,0.17931709153508102
15,0.17848553299637432
16,0.17771302054740887
17,0.17699560131713812
18,0.1763184192642583
19,0.17568316925018804
20,0.17508027598542988
21,0.17450517335759175
22,0.1739574427178352
23,0.17343178242282342
24,0.17292527994864684
25,0.17243862823374498
26,0.171968368259868
27,0.17151524997797235
28,0.17107593282811245
29,0.1706470989624975
30,0.17023402742638374
31,0.1698306010750359
32,0.16943433204467984
33,0.16904599543436918
34,0.1686664086847243
35,0.16829246188439062
36,0.16792671174156398
37,0.16756421226784962
38,0.1672083427739971
39,0.1668574077738423
40,0.16650982430855643
41,0.16616644295822666
42,0.16582862856811684
43,0.1654909573302017
44,0.16515935286105363
45,0.16483003921534564
46,0.1645027243035277
47,0.1641783336236009
48,0.1638580973291231
49,0.16353966241446802
50,0.16322470955110352
