epoch,f1_harmonic_mean,class,precision,recall,f1,accuracy
1,0.11406141156533293,0,0.9817706534187399,0.9908933352389754,0.9863109001830549,0.973387407194024
1,0.11406141156533293,1,0.5173651566824786,0.2447347129530909,0.33228509322056365,0.9847927307993211
1,0.11406141156533293,2,0.11912539914607181,0.016894107263043086,0.029591597912043247,0.994349568647824
1,0.11406141156533293,3,0.23597253714915867,0.35434841870235073,0.283291638445643,0.986632142946751
1,0.11406141156533293,4,0.4115142963343877,0.3923538631928394,0.40170573249433766,0.994807618700033
2,0.38192511762555065,0,0.9884424109186348,0.9899258887177209,0.9891835936258903,0.9790536673155391
2,0.38192511762555065,1,0.5729550176588244,0.3871955046367964,0.4621058928680956,0.9860632652940476
2,0.38192511762555065,2,0.18065370446619772,0.16878482673178832,0.1745176990198991,0.9918574222372453
2,0.38192511762555065,3,0.3711706908294002,0.5100133552602033,0.4296537374779042,0.9899045860007721
2,0.38192511762555065,4,0.48425969400609237,0.6048923202473554,0.5378954747843957,0.9953825496624331
3,0.44841369814849313,0,0.9904314543190579,0.9901856954870634,0.9903085596559434,0.9812486013835889
3,0.44841369814849313,1,0.6193544885394751,0.42741366535375847,0.5057864458627005,0.9870856867785853
3,0.44841369814849313,2,0.205798524871321,0.2582578021498532,0.2290630323267811,0.9911350244683358
3,0.44841369814849313,3,0.41727742076053903,0.5670669373483322,0.4807753040204228,0.9908679118507954
3,0.44841369814849313,4,0.5262320213204797,0.6512309475982736,0.5820965702484654,0.9958457009388179
4,0.48270026181475745,0,0.9912968120271562,0.9905332530225509,0.9909148854329399,0.982426335145314
4,0.48270026181475745,1,0.6383436648261264,0.460147612131163,0.534792254158643,0.9876224568663712
4,0.48270026181475745,2,0.23895590512410605,0.2877326640463155,0.2610856707190482,0.9916946021083591
4,0.48270026181475745,3,0.432157308841673,0.6029590193449098,0.5034664028504078,0.9911327588463862
4,0.48270026181475745,4,0.5428214703719078,0.6740013861168737,0.6013404851719901,0.9960296909692932
5,0.5110681079178698,0,0.9919223390619337,0.99108404751164,0.9915030160980679,0.9835645929072013
5,0.5110681079178698,1,0.6548727332343461,0.4916416357090483,0.5616374473270733,0.9881340779149994
5,0.5110681079178698,2,0.26358220115520875,0.31162987449622187,0.2855993180338279,0.9920496910822884
5,0.5110681079178698,3,0.44735208562761486,0.626917457949896,0.5221274939924111,0.9914440463255565
5,0.5110681079178698,4,0.5881008339021946,0.6872760657740351,0.633832442010417,0.9964720822532491
6,0.53089725190428,0,0.992230697838716,0.9913690005265531,0.991799662017286,0.9841385694008874
6,0.53089725190428,1,0.6664153406936557,0.5150953360031308,0.5810653100349984,0.988516231220695
6,0.53089725190428,2,0.2859894657088516,0.3298435819660454,0.3063550750649601,0.9923830624174843
6,0.53089725190428,3,0.4610597030722306,0.6382012117598529,0.5353576338867342,0.9917404761864512
6,0.53089725190428,4,0.5984340814693724,0.693324681427357,0.6423941231249782,0.9965705728590464
7,0.546145328432995,0,0.9925599261504581,0.9914617982764551,0.9920105583143579,0.9845483327894994
7,0.546145328432995,1,0.6743206109137638,0.5318909068993267,0.5946966945401148,0.9887905931135159
7,0.546145328432995,2,0.3031098089070975,0.34303639057330954,0.3218395306773269,0.9926278612008943
7,0.546145328432995,3,0.46964373875989307,0.6566800993517565,0.5476323710698299,0.9919112978851433
7,0.546145328432995,4,0.6084603994281117,0.7036684355511084,0.6526102711052189,0.9966717727578516
8,0.5635823967944091,0,0.9927777118531833,0.9916356384175576,0.9922063464912068,0.9849273212151645
8,0.5635823967944091,1,0.682087546369571,0.5431417231317904,0.6047361330384741,0.989022339149993
8,0.5635823967944091,2,0.31767319603343713,0.3743136883324271,0.34367537413832466,0.9927093505064978
8,0.5635823967944091,3,0.4884677906450334,0.6605199830524736,0.5616121323210503,0.9923116953260747
8,0.5635823967944091,4,0.611608097374018,0.7117228259761735,0.6578784426059318,0.9967112753700088
9,0.582803484038512,0,0.9929961665306112,0.9918090163084803,0.992402236390835,0.9853064979130604
9,0.582803484038512,1,0.6936410095896297,0.5545092229066184,0.6163205793495921,0.9893255364840252
9,0.582803484038512,2,0.32821779180790706,0.4167321131354276,0.3672163538544439,0.9926759647558452
9,0.582803484038512,3,0.5073459041685657,0.662383454457998,0.5745902334243752,0.99268724083255
9,0.582803484038512,4,0.6328826505095454,0.718973207819902,0.6731866664730168,0.9968985927348234
10,0.6001176316573026,0,0.9932528292526318,0.9920136371389523,0.9926328464474334,0.9857528516522351
10,0.6001176316573026,1,0.7041909738136187,0.5746634661157107,0.6328676871802461,0.9896914229101065
10,0.6001176316573026,2,0.3459926160969775,0.43795078908462726,0.38657826122543526,0.992912268251342
10,0.6001176316573026,3,0.5267625600868142,0.6737063646613071,0.5912411093360562,0.9930546231093083
10,0.6001176316573026,4,0.6406009018144174,0.7293987664418101,0.6821220740289375,0.9969797344914777
11,0.6151396585700679,0,0.9933424743436376,0.9920391594246336,0.9926903890999381,0.9858645876463827
11,0.6151396585700679,1,0.707598222459003,0.5781442682305447,0.6363542614281902,0.989783756934519
11,0.6151396585700679,2,0.3588119574269526,0.4780779448944238,0.40994659568577135,0.9929818447705657
11,0.6151396585700679,3,0.5446509469526964,0.6778546515744253,0.6039958889695182,0.9933728794414071
11,0.6151396585700679,4,0.6478776776519806,0.732399873976371,0.6875508898983791,0.9970426376736795
12,0.6238750435660333,0,0.9935993391963552,0.9920995861146542,0.9928488962908668,0.9861724762954299
12,0.6238750435660333,1,0.714152182149561,0.5926976500263399,0.647781114095525,0.9900346396119334
12,0.6238750435660333,2,0.36255728593857606,0.4909944023310081,0.41711263738708715,0.9930020947597366
12,0.6238750435660333,3,0.5565452561031677,0.6881040373118342,0.6153717994256688,0.9935867197560251
12,0.6238750435660333,4,0.6575363019081958,0.7346357741888302,0.6939511264495757,0.9971211714230196
13,0.63853357634369,0,0.9936496250207391,0.9923458332717068,0.9929973011812652,0.9864580983770037
13,0.63853357634369,1,0.7239383652598975,0.5962640509001255,0.6539276356233534,0.9902422137182983
13,0.63853357634369,2,0.37864951981172346,0.5207911027385326,0.43848875852423475,0.9931982013395755
13,0.63853357634369,3,0.5737898882506771,0.6978674575796415,0.629775452973064,0.9938824855005279
13,0.63853357634369,4,0.6678566112348329,0.7384683372784261,0.7013897630990387,0.9972064337200147
14,0.6511544446424777,0,0.9937330014843482,0.9924046962752845,0.993068404702474,0.986595763905949
14,0.6511544446424777,1,0.7317513910154814,0.6098470222755613,0.6652607850990081,0.9905112058805555
14,0.6511544446424777,2,0.39398823040494196,0.5421516150693017,0.4563449712454577,0.9934126442047716
14,0.6511544446424777,3,0.583831869552413,0.7029550717411719,0.637879606290414,0.9940493499075855
14,0.6511544446424777,4,0.6781638259196765,0.7438081594220365,0.7094707804988201,0.9972935620569676
15,0.6663246371171558,0,0.9939345222206604,0.9924971890057518,0.9932153356036939,0.9868806154218528
15,0.6663246371171558,1,0.7411932028449487,0.6223212174095956,0.6765755454849924,0.9908008730346984
