epoch,f1_harmonic_mean,class,precision,recall,f1,accuracy
1,0.6860263464236669,0,0.9813847929814964,0.9906204229975705,0.9859809810533817,0.972767402111913
1,0.6860263464236669,1,0.6249681416029809,0.4540992804052317,0.5260052849152713,0.972767402111913
2,0.800991482739817,0,0.9880958655809442,0.9900707334188763,0.9890823137126213,0.9788701161897366
2,0.800991482739817,1,0.6937513199991778,0.6534684299764834,0.6730076305401043,0.9788701161897366
3,0.8306811021696971,0,0.990155347853036,0.9902947068642151,0.9902250224554637,0.9810992498687783
3,0.8306811021696971,1,0.7168830049026684,0.7139517212458003,0.7154143604829076,0.9810992498687783
4,0.8449385251824125,0,0.991086862475928,0.990651987320207,0.9908693771833039,0.9823502799164797
4,0.8449385251824125,1,0.7318388345138255,0.7411680725115237,0.7364739103105339,0.9823502799164797
5,0.8566734888471642,0,0.9917191265684305,0.9912301531170775,0.9914745795550203,0.9835205983738262
5,0.8566734888471642,1,0.74881539990015,0.7595416816690668,0.7541404022290925,0.9835205983738262
6,0.8619664623163314,0,0.9920646711751556,0.9914028831749556,0.9917336667715967,0.9840227974697432
6,0.8619664623163314,1,0.7549839656322228,0.7696156551002439,0.76222959969132,0.9840227974697432
7,0.867376586013507,0,0.9923810230284665,0.9916492425015346,0.9920149978117317,0.9845670980495594
7,0.867376586013507,1,0.7624811491046312,0.7788157809986511,0.7705619080119488,0.9845670980495594
8,0.8710758417048965,0,0.9925796330912482,0.9918505498517904,0.9922149575382687,0.9849535458686698
8,0.8710758417048965,1,0.7681880019657509,0.7845809521076595,0.7762979449052988,0.9849535458686698
9,0.8746691978640725,0,0.9928391851488046,0.9919444334043478,0.9923916075969884,0.9852961902070274
9,0.8746691978640725,1,0.7719397600203897,0.7921506248773209,0.7819146120609796,0.9852961902070274
10,0.8791031180734502,0,0.9930726587717061,0.9922019022647873,0.9926370895580366,0.985770429685085
10,0.8791031180734502,1,0.7790764806940061,0.7989225105521324,0.7888746967786737,0.985770429685085
11,0.8802033991081796,0,0.9931504170532064,0.992235893600868,0.9926929446997299,0.9858786862177533
11,0.8802033991081796,1,0.7803133190964777,0.8011883285568365,0.7906130541251153,0.9858786862177533
12,0.883234143239416,0,0.993397375101589,0.9922820713630109,0.9928394100139626,0.9861631365628701
12,0.883234143239416,1,0.7828603139588894,0.8083951027964219,0.7954228306961371,0.9861631365628701
13,0.8854130421349773,0,0.9934795386755388,0.9924623491163296,0.9929706833962172,0.9864161327350939
13,0.8854130421349773,1,0.78734089953421,0.8107607232683968,0.7988792052481294,0.9864161327350939
14,0.8867215093672293,0,0.9935604057920518,0.9925232508422074,0.9930415575102111,0.9865532286809614
14,0.8867215093672293,1,0.7891781408642857,0.8131114229074463,0.8009660370440133,0.9865532286809614
15,0.8892434766024582,0,0.9937682317306011,0.9925645215751371,0.9931660119309624,0.9867948351776238
15,0.8892434766024582,1,0.7913267165656298,0.8191732082383434,0.8050092212859716,0.9867948351776238
16,0.890770859020982,0,0.9938387000733991,0.9926732790592483,0.9932556477093013,0.986967784670282
16,0.890770859020982,1,0.794155884595248,0.8212110717259479,0.8074569094704892,0.986967784670282
17,0.8924219461881316,0,0.9938990499919964,0.9928145314882154,0.9933564947285429,0.9871621296734474
17,0.8924219461881316,1,0.7976612347423238,0.8229478686151189,0.810107275897877,0.9871621296734474
18,0.8930637035924315,0,0.9939897366878442,0.9927704729973343,0.9933797307149166,0.9872078976994602
18,0.8930637035924315,1,0.7971941728293189,0.8256032874725021,0.8111500614739645,0.9872078976994602
19,0.8949663502262271,0,0.9940936145252501,0.9928838026510081,0.9934883402787666,0.98741769929669
19,0.8949663502262271,1,0.8003193682602238,0.8286158036401198,0.8142218155017767,0.98741769929669
20,0.8966216319672079,0,0.994230569015658,0.9929152889082045,0.9935724936738636,0.9875809646854298
20,0.8966216319672079,1,0.8017919297719915,0.8326075322942926,0.816909226361288,0.9875809646854298
21,0.8968514616689451,0,0.9942519759034687,0.9929162951306396,0.9935836866262499,0.9876027184692535
21,0.8968514616689451,1,0.8019336222041688,0.8332320467405476,0.8172832955947192,0.9876027184692535
22,0.8986060133738408,0,0.9943477533747299,0.9930226679209926,0.9936847688954227,0.9877979587585118
22,0.8986060133738408,1,0.8048490463845646,0.8360090763546051,0.8201331956106022,0.9877979587585118
23,0.899007580390333,0,0.9944061019658489,0.9929945914800434,0.9936998454747937,0.9878276179900323
23,0.899007580390333,1,0.8045384775015246,0.8377160793245909,0.8207921436258974,0.9878276179900323
24,0.9000361160372757,0,0.9944800068465292,0.9930320078345884,0.9937554798717629,0.9879353287715507
24,0.9000361160372757,1,0.8057807082345378,0.8398659922991313,0.8224703563376433,0.9879353287715507
25,0.9005183241094656,0,0.9944999364515412,0.9930707899234635,0.993784849379422,0.9879919578015234
25,0.9005183241094656,1,0.8067594217537264,0.8404411128200704,0.8232559083915251,0.9879919578015234
26,0.9018525102505673,0,0.9945746706096773,0.9931502186326188,0.9938619342226904,0.9881408616732876
26,0.9018525102505673,1,0.8089487911171075,0.8426084175174685,0.8254356036499515,0.9881408616732876
27,0.9033736993584415,0,0.9946888844276148,0.9932000773856955,0.9939439233940248,0.988299647851171
27,0.9033736993584415,1,0.8106801987724023,0.8459317764132523,0.8279309227783799,0.988299647851171
28,0.9043818219166029,0,0.994748466266979,0.9932564209116159,0.9940018836813825,0.9884116455993271
28,0.9043818219166029,1,0.8122654318314496,0.8476606473559735,0.8295856669812394,0.9884116455993271
29,0.9055928632133639,0,0.9948309028119383,0.9933091356271861,0.9940694368221155,0.9885423287705847
29,0.9055928632133639,1,0.8138871082232391,0.8500564795304555,0.831578684570021,0.9885423287705847
30,0.9065373585047977,0,0.9948938891249371,0.9933524188049863,0.9941225564205987,0.9886450662259408
30,0.9065373585047977,1,0.8151923798627826,0.8518864898470775,0.8331355974204798,0.9886450662259408
31,0.9071333546503815,0,0.9949450146011637,0.9933639383878424,0.9941538478693619,0.9887057443004705
31,0.9071333546503815,1,0.8157161656428901,0.8533753263663627,0.8341209003945487,0.9887057443004705
32,0.9082715512872092,0,0.9949928849799847,0.9934558575674056,0.9942237772293991,0.9888405940871297
32,0.9082715512872092,1,0.8180446858345416,0.8547574013419009,0.8359981795882727,0.9888405940871297
33,0.9086610046345701,0,0.9950398969642199,0.9934446568202415,0.9942416370101878,0.9888754236554166
33,0.9086610046345701,1,0.8180288877563029,0.856129509201045,0.8366456500888938,0.9888754236554166
34,0.9090911035337575,0,0.9950718282487934,0.9934602382712047,0.9942653802098672,0.9889213839256481
34,0.9090911035337575,1,0.8185439205387189,0.8570580386023195,0.8373583513908002,0.9889213839256481
35,0.9105891246915853,0,0.9951655737329173,0.9935392367986982,0.9943517402672092,0.9890883015573447
35,0.9105891246915853,1,0.8208087788971091,0.8597791926812384,0.8398421519143067,0.9890883015573447
36,0.9114243413596756,0,0.9952279430405795,0.9935696116505507,0.994398085957195,0.9891780089060995
36,0.9114243413596756,1,0.8218096084916556,0.8615926349049801,0.8412310352419133,0.9891780089060995
37,0.9114908138758765,0,0.9952635582134185,0.9935297744456226,0.9943959105933402,0.9891742168491654
37,0.9114908138758765,1,0.8210812671358614,0.8626360308464467,0.8413458555462237,0.9891742168491654
38,0.9134789919059803,0,0.9953585313526289,0.9936767634518212,0.9945169364185438,0.9894077324062921
38,0.9134789919059803,1,0.8248920489500294,0.8653833262246506,0.8446526945621176,0.9894077324062921
39,0.9139787822655272,0,0.9954072803247073,0.9936797903365415,0.9945427851820504,0.9894579093389737
39,0.9139787822655272,1,0.825197821929218,0.8668033120524854,0.8454890375439642,0.9894579093389737
40,0.9144528689109609,0,0.9953993480852346,0.9937567304016421,0.9945773610179125,0.9895242550431664
40,0.9144528689109609,1,0.8269177040749657,0.8665618691024214,0.8462757538818286,0.9895242550431664
41,0.9148509212359314,0,0.9954553793602511,0.9937358100963211,0.9945948514818678,0.9895584475045798
41,0.9148509212359314,1,0.8267086591970559,0.8681972043277004,0.8469451456327468,0.9895584475045798
42,0.916255312802633,0,0.9955328956421259,0.9938262431564281,0.994678837338723,0.9897206221854176
42,0.916255312802633,1,0.829148422335832,0.8704436252496016,0.8492943464089846,0.9897206221854176
43,0.9166244425089224,0,0.9955445353817901,0.9938619050929257,0.9947025086571017,0.989766226565525
43,0.9166244425089224,1,0.8300217259045266,0.8707780787037888,0.8499115790197248,0.989766226565525
44,0.9180227190322948,0,0.9956415241918324,0.9939256705878411,0.9947828574918334,0.9899216131188878
44,0.9180227190322948,1,0.8319420715527657,0.8735952513267485,0.8522600277786788,0.9899216131188878
45,0.9179946694662827,0,0.9956117665385655,0.9939618691215214,0.9947861337232988,0.98992760843756
45,0.9179946694662827,1,0.8326370610142184,0.8727237791905804,0.8522092749534472,0.98992760843756
46,0.9184192627352656,0,0.9956804736717354,0.9939284723153974,0.994803701608627,0.9899620614613855
46,0.9184192627352656,1,0.8321878301690835,0.8747294136790663,0.8529284889214177,0.9899620614613855
47,0.919778313360921,0,0.9957480051274595,0.9940271170380562,0.994886816914288,0.9901224642383809
47,0.919778313360921,1,0.8347710517550216,0.8766840189189476,0.8552143180032125,0.9901224642383809
48,0.9196916884943448,0,0.9957697003916866,0.993985995451204,0.9948770484254766,0.9901039059188951
48,0.9196916884943448,1,0.833923144924366,0.8773209713715292,0.8550717651411219,0.9901039059188951
49,0.9206102227460378,0,0.9958235011360288,0.9940420197305617,0.9949319629733754,0.9902099738861808
49,0.9206102227460378,1,0.835459671142945,0.8788809146122033,0.8566204008665925,0.9902099738861808
50,0.9216856615925247,0,0.9958776994993596,0.994119546519075,0.994997846349373,0.9903371283433081
50,0.9216856615925247,1,0.8374951475939304,0.8804498580992979,0.8584354928874811,0.9903371283433081
