epoch,loss
1,0.11386173148668592
2,0.11024431594923256
3,0.10830213259851272
4,0.10702773703743969
5,0.106056215282978
6,0.10530528392036077
7,0.10466767081777721
8,0.10412981647025268
9,0.10364147704743716
10,0.10319661180683098
11,0.1027962158668484
12,0.10242799045157304
13,0.10208372383086664
14,0.10175985862426325
15,0.10144004752246867
16,0.10113767460620854
17,0.10084372909914073
18,0.10056026630630083
19,0.10028622241453489
20,0.10001264330510148
21,0.09975282037879481
22,0.09949673334040197
23,0.0992494584733519
24,0.09900862790512803
25,0.09877765346956173
26,0.09854947984358477
27,0.09832902375465537
28,0.09811877500226604
29,0.09791092843593728
30,0.09770868058177674
31,0.09751482216068708
32,0.09732464638152515
33,0.09714302622116493
34,0.09696827081631067
35,0.09679858084029294
36,0.09663028810435315
37,0.09647227376055341
38,0.09631348805019319
39,0.09616223280140299
40,0.09601709635354973
41,0.09587678779524922
42,0.09573576922744796
43,0.09560156154778256
44,0.09546833354233596
45,0.09534237835651259
46,0.09522129820316289
47,0.09509978128256177
48,0.09498245035983828
49,0.09486739466825228
50,0.09475530669012451
