Wall time,Step,Value
1730182198.9159393,1,0.0010000000474974513
1730183320.7953858,2,0.0010000000474974513
1730184368.3363495,3,0.0010000000474974513
1730185415.5584598,4,0.0010000000474974513
1730186462.9695976,5,0.0010000000474974513
1730187511.0127904,6,0.0010000000474974513
1730188559.3692558,7,0.0010000000474974513
1730189607.0661535,8,0.0010000000474974513
1730190656.504858,9,0.0010000000474974513
1730191705.5513954,10,0.0010000000474974513
1730192753.9006884,11,0.0010000000474974513
1730193802.8987572,12,0.0010000000474974513
1730194850.9393196,13,0.0010000000474974513
1730195900.7608523,14,0.0010000000474974513
1730196950.611858,15,0.0010000000474974513
1730197997.5261953,16,0.0010000000474974513
1730199046.9153116,17,0.0010000000474974513
1730200095.683591,18,0.0010000000474974513
1730201143.5530918,19,0.0010000000474974513
1730202190.0151696,20,0.0010000000474974513
1730203238.6050534,21,0.0010000000474974513
1730204287.590035,22,0.0010000000474974513
1730205337.0049388,23,0.0010000000474974513
1730206386.2045054,24,0.0010000000474974513
1730207435.3743432,25,0.0010000000474974513
1730208485.6311371,26,0.0010000000474974513
1730209536.926737,27,0.0010000000474974513
1730210586.1872602,28,0.0010000000474974513
1730211634.2051606,29,0.0010000000474974513
1730212681.535703,30,0.0010000000474974513
1730213728.733698,31,0.0010000000474974513
1730214777.1764903,32,0.0010000000474974513
1730215824.2468133,33,0.0010000000474974513
1730216874.3020372,34,0.0010000000474974513
1730217922.5885682,35,0.0010000000474974513
1730218971.2600617,36,0.0010000000474974513
1730220020.2267122,37,0.0010000000474974513
1730221067.6919794,38,0.0010000000474974513
1730222116.851391,39,0.0010000000474974513
1730223165.9501832,40,0.0010000000474974513
1730224213.507487,41,0.0010000000474974513
1730225262.603791,42,0.0010000000474974513
1730226310.1105032,43,0.0010000000474974513
1730227358.7648106,44,0.0010000000474974513
1730228408.2920716,45,0.0010000000474974513
1730229458.097092,46,0.0010000000474974513
1730230505.5565724,47,0.0010000000474974513
1730231554.2278872,48,0.0010000000474974513
1730232602.1731544,49,0.0010000000474974513
1730233651.6524553,50,0.0010000000474974513
